A,B,Weight
Antonio_Gramsci,Giovanni_Arrighi,1
Antonio_Gramsci,Jalal_Al-e-Ahmad,1
Antonio_Gramsci,Judith_Butler,1
Antonio_Gramsci,Louis_Althusser,1
Antonio_Gramsci,Michael_Parenti,1
Antonio_Gramsci,Néstor_García_Canclini,1
Antonio_Gramsci,Noam_Chomsky,1
Antonio_Gramsci,Palmiro_Togliatti,1
Antonio_Gramsci,Paulo_Freire,1
Antonio_Gramsci,R._Radhakrishnan,1
Antonio_Gramsci,Raymond_Williams,1
Antonio_Gramsci,Richard_J._F._Day,1
Antonio_Gramsci,Robert_J._C._Young,1
Antonio_Gramsci,Robert_W._Cox,1
Antonio_Gramsci,Stuart_Hall_(cultural_theorist),1
Antonio_Gramsci,Umberto_Eco,1
Antonio_Gramsci,Zygmunt_Bauman,1
Antonio_Labriola,Antonio_Gramsci,1
Antonio_Labriola,Benedetto_Croce,1
Antonio_Labriola,Giovanni_Gentile,1
Antonio_Negri,François_Noudelmann,1
Antonio_Negri,Michael_Hardt,1
Antonio_Negri,Richard_J._F._Day,1
Antonio_Rosmini-Serbati,Giovanni_Gentile,1
Anwar_Shah_Kashmiri,Mufti_Muhammad_Shafi,1
Apollodorus_the_Epicurean,Zeno_of_Sidon,1
Apollonius_of_Tyana,Philostratus#Philostratus_II,1
Arcesilaus,Carneades,1
Arcesilaus,Clitomachus,1
Arcesilaus,Lacydes_of_Cyrene,1
Arcesilaus,Philo_of_Larissa,1
Arcesilaus,Sextus_Empiricus,1
Archytas,Eudoxus_of_Cnidus,1
Archytas,Menaechmus,1
Arda_Denkel,Colin_McGinn,1
Arda_Denkel,Ted_Honderich,1
Aristippus,Anniceris,1
Aristippus,Arete_of_Cyrene,1
Aristippus,Aristippus_the_Younger,1
Aristippus,Epicurus,1
Aristippus,Gustavo_Bueno,1
Aristippus,Hegesias_of_Cyrene,1
Aristippus,Michel_Onfray,1
Aristippus,Theodorus_the_Atheist,1
Aristophanes,Plato,1
Aristophanes,Søren_Kierkegaard,1
Aristotle,Adam_Smith,1
Aristotle,Alasdair_MacIntyre,1
Aristotle,Albertus_Magnus_,1
Aristotle,Albertus_Magnus,1
Aristotle,Alex_Battler,1
Aristotle,Alexander_the_Great,1
Aristotle,Alexis_de_Tocqueville,1
Aristotle,Allan_Bloom,1
Aristotle,Anselm_of_Canterbury_,1
Aristotle,Averroes,1
Aristotle,Avicenna,1
Aristotle,Baruch_Spinoza,1
Aristotle,Boethius,1
Aristotle,Bonaventure_,1
Aristotle,Boris_Groys,1
Aristotle,Cesare_Cremonini,1
Aristotle,Charles_Taylor,1
Aristotle,Christian_philosophy,1
Aristotle,Christian_Wolff,1
Aristotle,Chrysippus,1
Aristotle,Cornelius_Castoriadis,1
Aristotle,David_Anhaght,1
Aristotle,Duns_Scotus,1
Aristotle,Edmund_Burke,1
Aristotle,Emanuel_Swedenborg,1
Aristotle,Eric_Voegelin,1
Aristotle,Francis_Bacon,1
Aristotle,Francisco_Suárez,1
Aristotle,Franz_Brentano,1
Aristotle,Friedrich_Adolf_Trendelenburg,1
Aristotle,Friedrich_Nietzsche,1
Aristotle,Galileo_Galilei,1
Aristotle,Georg_Wilhelm_Friedrich_Hegel,1
Aristotle,George_Boole,1
Aristotle,George_Grant,1
Aristotle,George_Santayana,1
Aristotle,Giorgio_Agamben,1
Aristotle,Giovanni_Pico_della_Mirandola,1
Aristotle,Gordon_Clark,1
Aristotle,Gottfried_Leibniz,1
Aristotle,Gustavo_Bueno,1
Aristotle,Hannah_Arendt,1
Aristotle,Hector_Zagal,1
Aristotle,Hugo_Grotius,1
Aristotle,Hypatia,1
Aristotle,Iamblichus,1
Aristotle,Islamic_philosophy,1
Aristotle,Jacques_Rancière,1
Aristotle,Jakob_Schegk,1
Aristotle,Jean-Jacques_Rousseau,1
Aristotle,Jewish_philosophy,1
Aristotle,John_Locke,1
Aristotle,John_McDowell,1
Aristotle,John_Stuart_Mill,1
Aristotle,Joseph_de_Maistre,1
Aristotle,Joseph_Owens_(Redemptorist),1
Aristotle,Leo_Strauss,1
Aristotle,Leonardo_Polo,1
Aristotle,List_of_writers_influenced_by_Aristotle,1
Aristotle,Maimonides,1
Aristotle,Martha_Nussbaum,1
Aristotle,Mary_Midgley,1
Aristotle,Michael_Oakeshott,1
Aristotle,Montesquieu,1
Aristotle,Mortimer_J._Adler,1
Aristotle,Muhammad_Iqbal,1
Aristotle,Murray_Bookchin,1
Aristotle,Murray_Rothbard,1
Aristotle,Nancy_Cartwright,1
Aristotle,Nel_Noddings,1
Aristotle,Niccolò_Machiavelli,1
Aristotle,Nicholas_of_Cusa,1
Aristotle,Nicolaus_Copernicus,1
Aristotle,Patrick_Suppes,1
Aristotle,Peter_Abelard,1
Aristotle,Philippa_Foot,1
Aristotle,Porphyry,1
Aristotle,Proclus,1
Aristotle,Ptolemy,1
Aristotle,René_Descartes,1
Aristotle,Richard_McKeon,1
Aristotle,Richard_Swinburne,1
Aristotle,Roberto_Torretti,1
Aristotle,Roderick_Long,1
Aristotle,Rosalind_Hursthouse,1
Aristotle,Rudolf_Christoph_Eucken,1
Aristotle,Science,1
Aristotle,Simon_Critchley,1
Aristotle,Søren_Kierkegaard,1
Aristotle,Stefan_Molyneux,1
Aristotle,Strato_of_Lampsacus,1
Aristotle,Syed_Manzoor_ul_Hassan_Hashmi,1
Aristotle,Takis_Fotopoulos,1
Aristotle,Theophrastus,1
Aristotle,Thomas_Aquinas,1
Aristotle,Thomas_Hobbes,1
Aristotle,Western_philosophy,1
Aristotle,William_of_Ockham,1
Aristotle,William_Petty,1
Aristotle,Wolfgang_Smith,1
Aristotle,Xavier_Zubiri,1
Arnold_J._Toynbee,Ivan_Illich,1
Art_&_Language,Miško_Šuvakovic,1
Arthur_Conan_Doyle,Umberto_Eco,1
Arthur_Danto,George_Dickie,1
Arthur_Danto,Miško_Šuvakovic,1
Arthur_Danto,Noël_Carroll,1
Arthur_Fine,Nancy_Cartwright,1
Arthur_Prior,C._J._F._Williams,1
Arthur_Prior,Hans_Kamp,1
Arthur_Prior,John_Lemmon,1
Arthur_Prior,Kit_Fine,1
Arthur_Prior,Max_Cresswell,1
Arthur_Prior,Patrick_Blackburn,1
Arthur_Prior,Robert_Bull,1
Arthur_Schopenhauer,A._D._Gordon,1
Arthur_Schopenhauer,Albert_Einstein,1
Arthur_Schopenhauer,Carl_Jung,1
Arthur_Schopenhauer,Clarence_Darrow,1
Arthur_Schopenhauer,Clément_Rosset,1
Arthur_Schopenhauer,Cornel_West,1
Arthur_Schopenhauer,Dylan_Thomas,1
Arthur_Schopenhauer,Erwin_Schrödinger,1
Arthur_Schopenhauer,Ettore_Majorana,1
Arthur_Schopenhauer,Fernando_González_(writer),1
Arthur_Schopenhauer,Friedrich_Nietzsche,1
Arthur_Schopenhauer,George_Santayana,1
Arthur_Schopenhauer,Georges_Palante,1
Arthur_Schopenhauer,Gilbert_Ryle,1
Arthur_Schopenhauer,Guy_de_Maupassant,1
Arthur_Schopenhauer,Hans_Vaihinger,1
Arthur_Schopenhauer,Henri_Bergson,1
Arthur_Schopenhauer,Hermann_Hesse,1
Arthur_Schopenhauer,Jacob_Burckhardt,1
Arthur_Schopenhauer,Jean-Paul_Sartre,1
Arthur_Schopenhauer,Joaquim_Maria_Machado_de_Assis,1
Arthur_Schopenhauer,Johannes_Itten,1
Arthur_Schopenhauer,John_N._Gray,1
Arthur_Schopenhauer,Jorge_Luis_Borges,1
Arthur_Schopenhauer,Joris-Karl_Huysmans,1
Arthur_Schopenhauer,Joseph_Campbell,1
Arthur_Schopenhauer,Jules_Laforgue,1
Arthur_Schopenhauer,Karl_Kraus,1
Arthur_Schopenhauer,Karl_Popper,1
Arthur_Schopenhauer,Karl_Robert_Eduard_von_Hartmann,1
Arthur_Schopenhauer,Knut_Hamsun,1
